Lee_Ngram_freq,Lee_Ngrams
18,even if
18,make these
18,and baggy
18,they wash
18,the darker
18,fit he
18,the little
18,worth it
18,which makes
18,the two
18,was much
18,that look
18,for bigger
18,the cost
18,any more
18,are of
18,would expect
18,product fits
18,yoga pants
18,than levis
18,lighter than
18,they make
18,stretchy but
18,32 32
18,when the
18,what ordered
18,feel comfortable
18,comfortable he
18,length but
18,felt like
18,comfortable good
18,their jeans
18,are better
18,go for
18,only brand
18,perfect they
18,jeans lee
18,loved these
18,the levis
18,well fitting
18,fabric was
18,what needed
18,definitely not
18,33 waist
18,find good
18,so this
18,order these
18,don get
17,right out
17,here and
17,your waist
17,fit would
17,they never
17,after only
17,amazon for
17,in most
17,don want
17,them when
17,are fantastic
17,low rise
17,my brother
17,was really
17,32 and
17,wearing this
17,nothing to
17,only ones
17,jean have
17,but there
17,this price
17,great comfortable
17,they could
17,fits good
17,and for
17,the fly
17,return the
17,me in
17,looking like
17,in it
17,of fabric
17,to hold
17,do the
17,than you
17,be more
17,and ll
17,wish there
17,were exactly
17,only wear
17,the pairs
17,have good
17,for his
17,for working
17,amazon is
17,always wear
17,look as
17,quality at
17,to loose
17,for something
17,tell you
17,of their
17,for your
17,double black
17,end up
17,on they
17,another brand
17,the sizes
17,and long
17,waist they
17,sure they
17,is on
17,jeans arrived
17,is in
17,pants it
17,both pairs
17,size fit
17,same pair
17,makes the
17,jeans out
17,good deal
17,to sit
17,next size
17,so these
17,and cut
17,jeans perfect
17,so when
17,too wide
17,and half
17,wear for
17,size larger
17,like how
17,what it
17,after couple
17,stylish and
17,how the
17,ll see
17,same fit
17,stretchy so
17,ok but
17,making them
17,ll probably
17,so no
17,is difficult
17,wear any
17,comfortable bought
17,try on
17,too bad
17,the lower
17,new ones
17,are they
17,of material
17,with an
17,on his
17,the 30
17,and some
17,your jeans
17,still look
17,me just
17,the usa
17,what we
17,with some
17,didn have
17,in years
17,bought and
17,the very
17,because he
17,get my
17,in front
17,waist line
17,31 waist
17,without any
17,like skinny
17,year ago
17,was in
17,of your
